customer_id,created_date,age_band,residency,segment
CUST00280,2025-12-23,60+,ES,mass
CUST00281,2025-11-19,26-35,AD,affluent
CUST00282,2025-12-12,18-25,AD,mass
CUST00283,2025-10-17,18-25,AD,affluent
CUST00284,2026-01-23,36-45,AD,mass
CUST00285,2025-11-10,36-45,ES,mass
CUST00286,2026-01-22,18-25,FR,mass
CUST00287,2026-02-01,60+,FR,mass
CUST00288,2026-01-25,18-25,ES,mass
CUST00289,2025-10-16,26-35,ES,mass
CUST00290,2025-10-17,18-25,AD,mass
CUST00291,2025-12-21,18-25,AD,mass
CUST00292,2025-11-30,36-45,AD,mass
CUST00293,2026-01-01,18-25,ES,affluent
CUST00294,2025-12-20,26-35,ES,mass
CUST00295,2025-12-15,46-60,AD,mass
CUST00296,2026-01-14,60+,AD,mass
CUST00297,2025-12-31,18-25,AD,mass
CUST00298,2025-12-28,36-45,AD,affluent
CUST00299,2025-12-21,26-35,AD,mass
CUST00300,2026-01-24,46-60,FR,mass
CUST00301,2026-01-21,36-45,FR,mass
CUST00302,2026-02-05,26-35,AD,mass
CUST00303,2025-12-07,46-60,AD,mass
CUST00304,2025-11-16,26-35,AD,affluent
CUST00305,2025-10-23,18-25,AD,mass
CUST00306,2026-01-18,46-60,ES,mass
CUST00307,2025-12-29,60+,ES,mass
CUST00308,2025-12-06,26-35,ES,mass
CUST00309,2026-02-03,60+,AD,mass
CUST00310,2025-11-23,26-35,ES,mass
CUST00311,2026-01-07,36-45,ES,mass
CUST00312,2025-12-25,26-35,ES,mass
CUST00313,2026-01-26,26-35,ES,mass
CUST00314,2026-01-02,36-45,ES,mass
CUST00315,2026-02-10,36-45,ES,mass
CUST00316,2025-11-18,46-60,AD,mass
CUST00317,2025-10-15,26-35,AD,mass
CUST00318,2025-10-23,18-25,ES,mass
CUST00319,2026-01-18,36-45,AD,mass
CUST00320,2025-11-04,26-35,ES,mass
CUST00321,2025-12-26,36-45,FR,mass
CUST00322,2026-01-19,36-45,ES,mass
CUST00323,2026-01-07,26-35,ES,mass
CUST00324,2025-11-11,46-60,AD,mass
CUST00325,2025-11-20,46-60,ES,mass
CUST00326,2025-11-23,18-25,AD,mass
CUST00327,2025-10-15,26-35,FR,mass
CUST00328,2026-01-20,26-35,AD,mass
CUST00329,2026-01-18,26-35,AD,mass
CUST00330,2025-11-13,36-45,ES,mass
CUST00331,2025-10-24,26-35,ES,mass
CUST00332,2025-12-12,60+,FR,mass
CUST00333,2025-12-27,26-35,ES,mass
CUST00334,2025-12-05,18-25,AD,mass
CUST00335,2026-01-02,36-45,ES,mass
CUST00336,2025-12-09,46-60,AD,mass
CUST00337,2025-12-21,18-25,FR,mass
CUST00338,2025-11-12,26-35,AD,mass
CUST00339,2025-10-29,36-45,AD,mass
CUST00340,2025-11-28,46-60,ES,mass
CUST00341,2025-11-14,18-25,AD,mass
CUST00342,2025-11-03,46-60,ES,mass
CUST00343,2026-01-21,36-45,AD,mass
CUST00344,2025-12-28,36-45,FR,mass
CUST00345,2026-01-04,60+,AD,affluent
CUST00346,2025-11-24,18-25,AD,mass
CUST00347,2025-11-22,46-60,ES,mass
CUST00348,2025-10-24,26-35,AD,mass
CUST00349,2026-01-29,26-35,ES,affluent
CUST00350,2025-10-26,36-45,AD,mass
CUST00351,2025-12-24,60+,ES,mass
CUST00352,2026-02-08,46-60,ES,mass
CUST00353,2025-12-14,36-45,FR,mass
CUST00354,2026-01-26,60+,AD,mass
CUST00355,2025-12-18,36-45,AD,mass
CUST00356,2025-12-10,36-45,ES,mass
CUST00357,2026-02-09,26-35,AD,mass
CUST00358,2025-12-30,18-25,ES,mass
CUST00359,2025-11-26,18-25,ES,mass
CUST00360,2026-01-15,46-60,FR,mass
CUST00361,2025-11-03,26-35,ES,mass
CUST00362,2025-11-28,26-35,ES,mass
CUST00363,2025-10-31,36-45,FR,mass
CUST00364,2025-12-02,36-45,AD,mass
CUST00365,2026-01-12,46-60,ES,mass
CUST00366,2025-12-21,18-25,ES,mass
CUST00367,2025-10-17,26-35,AD,mass
CUST00368,2026-01-21,36-45,AD,mass
CUST00369,2025-10-24,26-35,ES,mass
CUST00370,2025-12-23,46-60,FR,mass
CUST00371,2025-11-27,46-60,ES,mass
CUST00372,2025-11-03,18-25,ES,mass
CUST00373,2026-01-26,60+,ES,mass
CUST00374,2025-11-30,46-60,AD,mass
CUST00375,2025-11-20,46-60,ES,mass
CUST00376,2025-11-14,26-35,ES,mass
CUST00377,2026-01-29,26-35,ES,mass
CUST00378,2025-12-10,36-45,AD,mass
CUST00379,2025-12-21,26-35,AD,mass
CUST00380,2025-12-31,18-25,AD,mass
CUST00381,2026-02-03,26-35,FR,mass
CUST00382,2025-12-20,46-60,AD,mass
CUST00383,2025-11-18,36-45,AD,affluent
CUST00384,2025-10-26,60+,AD,mass
CUST00385,2025-11-28,60+,AD,mass
CUST00386,2025-12-01,26-35,FR,mass
CUST00387,2025-10-18,26-35,AD,mass
CUST00388,2025-11-26,46-60,AD,mass
CUST00389,2026-01-29,36-45,ES,mass
CUST00390,2025-12-14,36-45,AD,mass
CUST00391,2025-11-16,26-35,AD,affluent
CUST00392,2025-12-31,36-45,AD,mass
CUST00393,2025-11-22,18-25,AD,mass
CUST00394,2026-01-02,36-45,AD,affluent
CUST00395,2025-12-30,36-45,ES,mass
CUST00396,2026-01-14,18-25,AD,mass
CUST00397,2025-11-14,36-45,AD,mass
CUST00398,2025-12-21,60+,AD,mass
CUST00399,2025-12-18,46-60,AD,mass
CUST00400,2026-02-03,36-45,ES,affluent
CUST00401,2025-11-16,46-60,AD,mass
CUST00402,2025-11-14,46-60,ES,mass
CUST00403,2026-01-17,46-60,AD,mass
CUST00404,2025-11-27,46-60,AD,mass
CUST00405,2025-12-13,60+,AD,mass
CUST00406,2025-11-01,18-25,ES,mass
CUST00407,2025-11-21,26-35,ES,affluent
CUST00408,2025-11-24,60+,AD,affluent
CUST00409,2025-12-23,36-45,AD,mass
CUST00410,2025-11-20,26-35,ES,affluent
CUST00411,2025-11-26,26-35,ES,mass
CUST00412,2025-12-05,46-60,FR,mass
CUST00413,2025-11-07,36-45,AD,affluent
CUST00414,2025-12-20,26-35,AD,mass
CUST00415,2025-12-09,36-45,ES,mass
CUST00416,2025-11-25,18-25,AD,mass
CUST00417,2025-12-11,36-45,AD,mass
CUST00418,2025-11-28,36-45,ES,affluent
CUST00419,2026-01-01,60+,AD,affluent
CUST00420,2025-10-22,18-25,ES,mass
CUST00421,2026-01-25,46-60,AD,mass
CUST00422,2026-01-31,36-45,ES,mass
CUST00423,2025-10-23,26-35,ES,mass
CUST00424,2025-12-26,18-25,AD,mass
CUST00425,2025-12-01,26-35,ES,mass
CUST00426,2025-12-21,26-35,AD,mass
CUST00427,2025-10-29,18-25,AD,mass
CUST00428,2026-02-08,36-45,AD,mass
CUST00429,2025-12-11,26-35,ES,mass
CUST00430,2025-12-16,26-35,AD,mass
CUST00431,2025-11-06,60+,AD,mass
CUST00432,2026-01-10,60+,FR,mass
CUST00433,2026-01-13,18-25,AD,affluent
CUST00434,2026-01-31,18-25,ES,mass
CUST00435,2025-11-06,46-60,AD,mass
CUST00436,2025-11-09,46-60,AD,mass
CUST00437,2025-11-30,36-45,AD,mass
CUST00438,2025-12-24,18-25,FR,mass
CUST00439,2025-12-04,60+,ES,mass
CUST00440,2026-01-21,26-35,ES,mass
CUST00441,2025-11-24,36-45,AD,mass
CUST00442,2025-11-28,18-25,ES,mass
CUST00443,2025-12-29,26-35,FR,mass
CUST00444,2026-02-08,46-60,ES,mass
CUST00445,2025-11-22,18-25,AD,mass
CUST00446,2025-11-28,60+,AD,mass
CUST00447,2025-10-25,26-35,ES,mass
CUST00448,2025-10-31,36-45,ES,mass
CUST00449,2026-01-05,18-25,FR,mass
CUST00450,2026-01-07,36-45,FR,mass
CUST00451,2026-02-10,36-45,ES,mass
CUST00452,2025-10-20,60+,ES,mass
CUST00453,2025-11-10,46-60,AD,mass
CUST00454,2025-12-17,60+,AD,mass
CUST00455,2025-11-22,36-45,ES,mass
CUST00456,2025-11-22,36-45,ES,mass
CUST00457,2025-12-07,36-45,AD,mass
CUST00458,2025-11-24,46-60,AD,affluent
CUST00459,2025-11-28,60+,AD,mass
CUST00460,2025-12-25,18-25,AD,mass
CUST00461,2025-12-11,26-35,AD,mass
CUST00462,2025-12-03,46-60,AD,affluent
CUST00463,2026-02-07,18-25,AD,mass
CUST00464,2025-11-24,26-35,AD,affluent
CUST00465,2025-12-13,36-45,AD,mass
CUST00466,2025-12-04,36-45,FR,mass
CUST00467,2025-11-29,18-25,AD,mass
CUST00468,2026-01-30,36-45,AD,mass
CUST00469,2026-01-31,18-25,AD,mass
CUST00470,2025-11-30,46-60,AD,mass
CUST00471,2025-12-26,36-45,AD,mass
CUST00472,2025-12-03,36-45,ES,mass
CUST00473,2026-01-02,46-60,AD,affluent
CUST00474,2025-12-04,26-35,FR,mass
CUST00475,2025-11-30,46-60,AD,mass
CUST00476,2025-12-18,18-25,AD,mass
CUST00477,2026-01-25,36-45,AD,mass
CUST00478,2025-12-19,18-25,FR,mass
CUST00479,2025-12-04,60+,ES,mass
CUST00480,2025-11-27,36-45,AD,mass
CUST00481,2025-12-26,26-35,ES,mass
CUST00482,2026-01-09,18-25,AD,mass
CUST00483,2026-02-07,46-60,ES,mass
CUST00484,2025-12-14,26-35,ES,affluent
CUST00485,2025-12-28,36-45,ES,mass
CUST00486,2025-11-05,36-45,ES,mass
CUST00487,2025-12-02,18-25,ES,mass
CUST00488,2026-01-12,18-25,AD,mass
CUST00489,2025-11-03,26-35,AD,mass
CUST00490,2026-01-01,60+,FR,mass
CUST00491,2025-10-22,46-60,AD,mass
CUST00492,2026-01-07,36-45,AD,affluent
CUST00493,2025-12-12,60+,AD,mass
CUST00494,2026-01-21,46-60,ES,mass
CUST00495,2025-11-17,36-45,AD,mass
CUST00496,2025-12-25,26-35,FR,affluent
CUST00497,2026-01-21,26-35,AD,mass
CUST00498,2025-11-24,36-45,ES,affluent
CUST00499,2026-01-15,26-35,AD,mass
CUST00500,2025-12-02,60+,AD,mass
CUST00501,2026-01-21,46-60,AD,mass
CUST00502,2026-01-14,18-25,FR,mass
CUST00503,2026-01-18,36-45,AD,mass
CUST00504,2026-02-11,36-45,AD,mass
CUST00505,2026-01-17,36-45,AD,mass
CUST00506,2025-12-21,26-35,AD,mass
CUST00507,2025-11-26,46-60,AD,mass
CUST00508,2025-10-15,60+,FR,mass
CUST00509,2026-01-06,60+,FR,mass
CUST00510,2025-11-09,46-60,AD,mass
CUST00511,2025-10-22,60+,AD,mass
CUST00512,2025-12-22,46-60,FR,mass
CUST00513,2026-02-09,18-25,FR,mass
CUST00514,2026-02-09,18-25,ES,mass
CUST00515,2025-11-07,60+,FR,affluent
CUST00516,2026-02-04,18-25,AD,mass
CUST00517,2026-02-10,60+,AD,affluent
CUST00518,2025-12-23,36-45,FR,mass
CUST00519,2025-12-18,36-45,AD,mass
CUST00520,2025-11-04,46-60,ES,mass
CUST00521,2025-10-16,46-60,ES,mass
CUST00522,2026-01-19,26-35,ES,mass
CUST00523,2025-12-05,46-60,AD,mass
CUST00524,2026-01-08,18-25,FR,mass
CUST00525,2026-02-11,26-35,AD,mass
CUST00526,2026-01-19,26-35,AD,mass
CUST00527,2025-12-27,18-25,ES,mass
CUST00528,2025-10-22,46-60,AD,mass
CUST00529,2026-01-10,36-45,FR,mass
CUST00530,2025-11-23,46-60,ES,affluent
CUST00531,2025-12-01,36-45,AD,mass
CUST00532,2025-11-03,36-45,FR,mass
CUST00533,2026-01-12,36-45,AD,mass
CUST00534,2026-01-08,46-60,ES,mass
CUST00535,2025-12-30,46-60,AD,mass
CUST00536,2026-01-13,26-35,FR,mass
CUST00537,2026-01-29,36-45,AD,mass
CUST00538,2025-11-03,18-25,FR,mass
CUST00539,2026-01-10,26-35,ES,mass
CUST00540,2025-12-19,36-45,AD,mass
CUST00541,2025-12-07,36-45,AD,mass
CUST00542,2026-01-26,26-35,AD,mass
CUST00543,2025-10-15,46-60,ES,mass
CUST00544,2025-11-28,46-60,AD,mass
CUST00545,2026-02-06,18-25,FR,mass
CUST00546,2025-12-06,18-25,AD,mass
CUST00547,2026-01-16,36-45,AD,affluent
CUST00548,2025-12-02,36-45,FR,mass
CUST00549,2025-10-25,46-60,ES,mass
CUST00550,2026-01-06,46-60,AD,affluent
CUST00551,2025-12-04,36-45,ES,mass
CUST00552,2025-10-15,46-60,FR,mass
CUST00553,2026-01-15,36-45,AD,affluent
CUST00554,2025-11-15,36-45,AD,mass
CUST00555,2026-02-04,46-60,AD,mass
CUST00556,2025-12-07,36-45,FR,affluent
CUST00557,2025-11-14,26-35,AD,mass
CUST00558,2025-12-30,46-60,FR,mass
CUST00559,2025-10-20,26-35,AD,mass
CUST00560,2026-02-02,46-60,AD,affluent
CUST00561,2025-11-13,46-60,ES,mass
CUST00562,2025-12-30,46-60,ES,mass
CUST00563,2026-02-04,18-25,ES,mass
CUST00564,2025-11-22,26-35,ES,mass
CUST00565,2026-01-17,60+,ES,mass
CUST00566,2025-12-17,18-25,AD,mass
CUST00567,2025-12-02,46-60,AD,mass
CUST00568,2025-11-03,26-35,AD,mass
CUST00569,2025-11-14,46-60,AD,mass
CUST00570,2026-01-26,36-45,AD,mass
CUST00571,2025-12-07,36-45,AD,mass
CUST00572,2025-11-10,26-35,AD,mass
CUST00573,2025-12-01,18-25,ES,mass
CUST00574,2025-11-18,26-35,ES,mass
CUST00575,2025-10-24,26-35,ES,mass
CUST00576,2025-12-25,26-35,AD,affluent
CUST00577,2025-11-22,60+,AD,affluent
CUST00578,2026-01-17,18-25,FR,mass
CUST00579,2025-11-15,46-60,ES,mass
CUST00580,2025-11-14,36-45,ES,mass
CUST00581,2025-12-22,36-45,AD,mass
CUST00582,2026-02-04,36-45,AD,affluent
CUST00583,2025-12-14,46-60,AD,mass
CUST00584,2025-11-24,26-35,ES,mass
CUST00585,2025-11-02,18-25,ES,mass
CUST00586,2026-01-15,26-35,AD,mass
CUST00587,2025-12-02,36-45,AD,mass
CUST00588,2026-01-10,26-35,ES,mass
CUST00589,2026-01-15,36-45,AD,mass
CUST00590,2026-01-24,26-35,AD,mass
CUST00591,2025-11-07,60+,AD,mass
CUST00592,2025-10-22,36-45,ES,mass
CUST00593,2026-01-27,46-60,ES,mass
CUST00594,2026-01-30,36-45,AD,mass
CUST00595,2025-11-11,36-45,AD,mass
CUST00596,2026-01-08,60+,FR,mass
CUST00597,2025-10-17,18-25,ES,mass
CUST00598,2025-12-21,46-60,AD,mass
CUST00599,2025-12-18,46-60,ES,mass
CUST00600,2026-02-08,18-25,FR,mass
CUST00601,2025-11-14,26-35,AD,mass
CUST00602,2025-11-18,46-60,AD,affluent
CUST00603,2025-12-12,36-45,FR,mass
CUST00604,2026-01-10,46-60,AD,affluent
CUST00605,2026-01-06,46-60,AD,mass
CUST00606,2025-12-24,36-45,ES,mass
